source,method,k,fingerprint,t,stage,event,certified_global_lb,validated_global_ub,provisional_local_lb,provisional_local_ub
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,220.93928508309182,mip_solve,solver_sample,510836.424793174,,510836.424793174,511771.83408799977
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,222.25479462498333,mip_solve,solver_sample,510837.00552355614,,510837.00552355614,511771.83408799977
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,225.0273418329889,mip_solve,solver_sample,510837.00552355614,,510837.00552355614,511771.83408799977
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,226.3660283749923,mip_solve,solver_sample,510837.14947709144,,510837.14947709144,511771.83408799977
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,228.2984157500323,mip_solve,solver_sample,510837.14947709144,,510837.14947709144,511771.83408799977
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,230.26973937498406,mip_solve,solver_sample,510837.14947709144,,510837.14947709144,511771.83408799977
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,231.2905491250567,mip_solve,solver_sample,510837.14947709144,,510837.14947709144,511771.83408799977
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,240.37176966608968,mip_solve,solver_sample,510837.14947709144,,510837.14947709144,511670.79999199975
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,249.73197475005873,mip_solve,solver_sample,510837.14947709144,,510837.14947709144,511670.79999199975
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,251.03279662504792,mip_solve,solver_sample,510837.14947709144,,510837.14947709144,511670.79999199975
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,252.5412340409821,mip_solve,solver_sample,510850.83342514414,,510850.83342514414,511670.79999199975
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,255.0006762080593,mip_solve,solver_sample,510881.2837040003,,510881.2837040003,511670.79999199975
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,257.38659458304755,mip_solve,solver_sample,510939.3028440007,,510939.3028440007,511670.79999199975
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,258.92079912498593,mip_solve,solver_sample,510960.039908,,510960.039908,511480.2193199998
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,260.58023387508,mip_solve,solver_sample,511039.2302766829,,511039.2302766829,511480.2193199998
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,262.3134027910419,mip_solve,solver_sample,511067.6596639999,,511067.6596639999,511228.426128
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,263.657707791077,mip_solve,solver_sample,511067.65966400004,,511067.65966400004,511138.08750400005
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,15e805d1ed7d2fbfda53191f368f39c620db127535fe47acb633d3e8edc9371e,265.0509735420346,complete,trial_completed,511138.08750400005,511138.0875040003,511138.08750400005,511138.0875040003
benchmarks/output/ddd_fixed_k_arc_flow_pilot/five_station_b_arc_flow_skip_stop_k20_pilot/events.jsonl,arc_flow_skip_stop,20,,11.059826708980836,mip_solve,solver_sample,522335.1366400005,,-295492895.5859923,
benchmarks/output/ddd_fixed_k_arc_flow_pilot/five_station_b_arc_flow_skip_stop_k20_pilot/events.jsonl,arc_flow_skip_stop,20,,14.427680041990243,mip_solve,solver_sample,535935.1366400002,,535935.1366400002,535935.1366400002
benchmarks/output/ddd_fixed_k_arc_flow_pilot/five_station_b_arc_flow_skip_stop_k20_pilot/events.jsonl,arc_flow_skip_stop,20,da00689042c7ca7fe091cfb722c41b6b2cd599a8ab292384543b571b0c9f4cf1,15.632724749972112,complete,trial_completed,535935.1366400002,535935.1366400003,535935.1366400002,535935.1366400003
benchmarks/output/ddd_fixed_k_arc_flow_smoke/arc_flow_smoke_preview/events.jsonl,arc_flow_all_stop,1,ccfb76d45cf59fbe57f0350b21224daae8797672cc79b3ba92664ab8030fe3f4,0.29809366597328335,complete,trial_completed,1439868.872376,1439868.872376,1439868.872376,1439868.872376
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,all_stop,17,e276179f48f51e64270260d40a4d00fbbb7c5450e8c071c376a92941ebeb3484,1.120261500007473,root_column_generation,cg_round_completed,710240.2547839999,710240.2547839999,710240.2547839999,710240.2547839999
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,all_stop,17,e276179f48f51e64270260d40a4d00fbbb7c5450e8c071c376a92941ebeb3484,1.1317901250440627,complete,trial_completed,710240.2547839999,710240.2547839999,,
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,all_stop,18,970cc40bb63f3e1f416b4d6c5886050afa4071ff30e9e00339c9b84b097b15ba,0.9272225839085877,root_column_generation,cg_round_completed,682921.4183039999,682921.4183040002,682921.4183039999,682921.4183040002
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,all_stop,18,970cc40bb63f3e1f416b4d6c5886050afa4071ff30e9e00339c9b84b097b15ba,0.9598810840398073,complete,trial_completed,682921.4183039999,682921.4183040002,,
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,all_stop,19,2c676ebed914bc157e1a2536b2dfcb991fdec94a4785d22345bb8b5b924c86b0,1.0380112499697134,root_column_generation,cg_round_completed,655714.9046240002,655714.9046240003,655714.9046240002,655714.9046240003
