source,bytes,classification,records
benchmarks/output/artifacts/20260722T205547Z__five_station_optimized_initial_placement_double_all_stop_skip_wait_v0__ean_passenger_journey_time__quick_good_solution__optimized_all_stop__network__all/five_station_optimized_initial_placement_double_all_stop_skip_wait_v0/ean_passenger_service_journey_time_physical_replay.json,1316099,support_or_manifest,0
benchmarks/output/artifacts/20260722T205547Z__five_station_optimized_initial_placement_double_all_stop_skip_wait_v0__ean_passenger_journey_time__quick_good_solution__optimized_all_stop__network__all/five_station_optimized_initial_placement_double_all_stop_skip_wait_v0/scenario.json,23924,support_or_manifest,0
benchmarks/output/artifacts/20260722T205547Z__five_station_optimized_initial_placement_double_all_stop_skip_wait_v0__ean_passenger_journey_time__quick_good_solution__optimized_all_stop__network__all/manifest.json,4037,support_or_manifest,0
benchmarks/output/bottleneck_diagnostics/20260715T141510Z__three_station_v0__journey_time__all.json,16886,result_or_diagnostic,3
benchmarks/output/bottleneck_diagnostics/20260715T142046Z__three_station_v0__journey_time__all.json,47662,result_or_diagnostic,3
benchmarks/output/bottleneck_diagnostics/20260715T142828Z__five_station_v0__journey_time__all.json,16582,result_or_diagnostic,3
benchmarks/output/circle_half_skip_wait_20260716/artifacts/20260716T090821Z__five_station_circle_cw_half_skip_wait_v0__ean_passenger_journey_time__exact_optimality__optimized_all_stop__all/five_station_circle_cw_half_skip_wait_v0/discrete_dt_0p5.json,1696468,support_or_manifest,0
benchmarks/output/circle_half_skip_wait_20260716/artifacts/20260716T090821Z__five_station_circle_cw_half_skip_wait_v0__ean_passenger_journey_time__exact_optimality__optimized_all_stop__all/five_station_circle_cw_half_skip_wait_v0/ean_build_artifact.json,60687779,large_support_artifact_not_loaded,
benchmarks/output/circle_half_skip_wait_20260716/artifacts/20260716T090821Z__five_station_circle_cw_half_skip_wait_v0__ean_passenger_journey_time__exact_optimality__optimized_all_stop__all/five_station_circle_cw_half_skip_wait_v0/ean_passenger_service_journey_time.json,407148,result_or_diagnostic,1
benchmarks/output/circle_half_skip_wait_20260716/artifacts/20260716T090821Z__five_station_circle_cw_half_skip_wait_v0__ean_passenger_journey_time__exact_optimality__optimized_all_stop__all/five_station_circle_cw_half_skip_wait_v0/ean_passenger_service_journey_time_movement_plan.json,330604,support_or_manifest,0
benchmarks/output/circle_half_skip_wait_20260716/artifacts/20260716T090821Z__five_station_circle_cw_half_skip_wait_v0__ean_passenger_journey_time__exact_optimality__optimized_all_stop__all/five_station_circle_cw_half_skip_wait_v0/ean_passenger_service_journey_time_physical_replay.json,675131,support_or_manifest,0
benchmarks/output/circle_half_skip_wait_20260716/artifacts/20260716T090821Z__five_station_circle_cw_half_skip_wait_v0__ean_passenger_journey_time__exact_optimality__optimized_all_stop__all/five_station_circle_cw_half_skip_wait_v0/scenario.json,23895,support_or_manifest,0
benchmarks/output/circle_half_skip_wait_20260716/artifacts/20260716T090821Z__five_station_circle_cw_half_skip_wait_v0__ean_passenger_journey_time__exact_optimality__optimized_all_stop__all/manifest.json,3612,support_or_manifest,0
benchmarks/output/circle_half_skip_wait_20260716/results/20260716T090821Z__five_station_circle_cw_half_skip_wait_v0__ean_passenger_journey_time__exact_optimality__optimized_all_stop__all.json,16801,result_or_diagnostic,1
benchmarks/output/combined_formulations_20260715/artifacts/20260715T110808Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/manifest.json,3266,support_or_manifest,0
